english	translation	category	sub_category	source
Councillor Halgrive gave me this to kill some sheep.	ぎょうせいかんハルグリアヴがひつじをころすためにこれをくれた。	examine	item	Sheep feed
The suspicious-looking remains of a suspicious-looking sheep.	あやしいみためのあやしいひつじのざんい。	examine	item	Sheep bones (1)
This should protect me from the plague, I hope!	これはわたしをペストからまもってくれるといいな。	examine	item	Plague jacket
These should protect me from the plague, I hope!	これらはわたしをペストからまもってくれるといいな。	examine	item	Plague trousers
Some orange armour designed to fit goblins.	ゴブリンにあわせたオレンジのよろい。	examine	item	Orange goblin mail
Some blue armour designed to fit goblins.	ゴブリンにあわせたあおいよろい。	examine	item	Blue goblin mail
Some brown armour designed to fit goblins.	ゴブリンにあわせたちゃいろいよろい。	examine	item	Goblin mail
This contains some vital research.	これはせつなけんきゅうをふくんでいる。	examine	item	Research package
They seem to be written in some kind of code.	なんらかのあんごうでかかれてるみたいだ。	examine	item	Research notes
A book on elven history in northern Gielinor.	elven history in northern Gielinorに ついての ほんだ。	examine	item	Book on baxtorian
I found this in a cave beneath the Tree Gnome Village (used in the Waterfall Quest).	クエストで みつけた アイテムだ。	examine	item	Key
A small pebble with elven inscription.	ちいさな pebble with elven inscriptionだ。	examine	item	Glarial's pebble
A bright green gem set in a necklace.	あかるい green gem set in a necklaceだ。	examine	item	Glarial's amulet
An urn containing Glarial's ashes.	グラリアルのはいをふくむつぼ。	examine	item	Glarial's urn
An empty urn made for Glarial's ashes.	グラリアルのはいようにつくられたからのつぼ。	examine	item	Glarial's urn (empty)
I found this within Baxtorian Falls (used in the Waterfall Quest).	クエストで みつけた アイテムだ。	examine	item	Key
Magical seeds in a mithril case.	ミスリルいれのまほうのしゅし。	examine	item	Mithril seeds
A bit of rat.	bit of ratだ。	examine	item	Rat's tail
Useful for catching lobsters.	やくにたつ。	examine	item	Lobster pot
Useful for catching small fish.	ちいさいさかなをつかまえるのにやくにたつ。	examine	item	Small fishing net
Useful for catching lots of fish.	たくさんのさかなをつかまえるのにやくにたつ。	examine	item	Big fishing net
Useful for catching sardine or herring.	いわしまたはにしんをつかまえるのにやくにたつ。	examine	item	Fishing rod
Useful for catching salmon or trout.	さけまたはますをつかまえるのにやくにたつ。	examine	item	Fly fishing rod
Useful for catching really big fish.	ほんとうにおおきいさかなをつかまえるのにやくにたつ。	examine	item	Harpoon
For use with a fishing rod.	つりざおと いっしょに つかう。	examine	item	Fishing bait
Used for fly fishing.	つかうハエつりをする。	examine	item	Feather
Some nicely cooked shrimp.	よくにえたえびだ。	examine	item	Shrimps
I should try cooking this.	これを りょうりしてみよう。	examine	item	Raw shrimps
Some nicely cooked anchovies.	よくにえたたべもの。	examine	item	Anchovies
Oops!	あ！	examine	item	Burnt fish
Some nicely cooked sardines.	よくにえたいわしだ。	examine	item	Sardine
Some nicely cooked salmon.	よくにえたさけだ。	examine	item	Salmon
Some nicely cooked trout.	よくにえたますだ。	examine	item	Trout
Some nicely cooked giant carp.	よくにえたこいだ。	examine	item	Giant carp
Some nicely cooked cod.	よくにえたたらだ。	examine	item	Cod
Some nicely cooked herring.	よくにえたにしんだ。	examine	item	Herring
Some nicely cooked pike.	よくにえたかわかますだ。	examine	item	Pike
Some nicely cooked mackerel.	よくにえたさばだ。	examine	item	Mackerel
Wow, this is a big fish.	わあ、これはおおきいさかなだ。	examine	item	Tuna
I'd better be careful eating this!	これをたべるときはちんちょうにしたほうがいい。	examine	item	Swordfish
This looks tricky to eat.	たべるのがそうなみたいだ。	examine	item	Lobster
I'd better be careful eating this.	これをたべるときはちゅういしたほうがいい。	examine	item	Shark
A rare catch.	めずらしい catchだ。	examine	item	Raw manta ray
Tasty!	おいしい！	examine	item	Sea turtle
Slightly damp seaweed.	ほんのすこししめったかいそう。	examine	item	Seaweed
I hope there's treasure in it.	そうだったらいいな。	examine	item	Casket
Maybe there are pearls inside?	なかにしんじゅがあるかな？	examine	item	Oyster
Aww, it's empty.	あ、からだ。	examine	item	Empty oyster
I could work wonders with a chisel on this pearl.	のみで このしんじゅを かこうしたら すごいものが できそう。	examine	item	Oyster pearl
I could work wonders with a chisel on these pearls.	のみで このしんじゅを かこうしたら すごいものが できそう。	examine	item	Oyster pearls
An expensive colourless liquid.	ぜいたくなむしょくのえきたい。	examine	item	Ethenea
This isn't worth much.	これはあまりねうちがない。	examine	item	Liquid honey
It's highly poisonous.	ひじょうどくせいだ。	examine	item	Sulphuric broline
Probably best I don't keep this too long.	おそらくこれをながくもたないほうがいい。	examine	item	Plague sample
A special kind of paper.	とくべつな kind of paperだ。	examine	item	Touch paper
Apparently it distills.	みたいにじょうしゃくするみたいだ。	examine	item	Distillator
Yup. It's an amulet.	そうだ。おまもりだ。	examine	item	Lathas' amulet
Birds love this stuff!	とりたちはこのぶつをすきだ！	examine	item	Bird feed
Opens things (Used in the Biohazard quest).	もののあけ（バイオハザードくえすとでつかう）。	examine	item	Key
It's full of pigeons.	はとでいっぱいだ。	examine	item	Pigeon cage
It's empty...	からだ...	examine	item	Pigeon cage
Top half of a priest suit.	そうりょいしょくぶぶんのうえはんぶん。	examine	item	Priest gown
Bottom half of a priest suit.	そうりょいしょくぶぶんのしたはんぶん。	examine	item	Priest gown
Medical looking.	いりょうてきにみえる。	examine	item	Medical gown
A very strong spirit brewed on Karamja.	very strong spirit brewed on Karamjaだ。	examine	item	Karamjan rum
A key to One-Eyed Hector's chest (Used in the Pirate's Treasure quest).	One-Eyed Hector's chestの かぎだ。	examine	item	Chest key
Pirates don't have the best handwriting...	かいぞくたちはさいこうのてじをもってない...	examine	item	Pirate message
Some hard dry clay.	かたくかわいたねんど。	examine	item	Clay
This needs refining.	せいれんするひつようがある。	examine	item	Copper ore
Hmm a non-renewable energy source!	うーん、さいせいふかのうねるぎーげんだ！	examine	item	Coal
The official Alfred Grimhand bar crawl card.	こうしきアルフレッドぐりむはんどばあくろおるかーど。	examine	item	Barcrawl card
It's empty!	からだ！	examine	item	Scorpion cage
There is 1 scorpion inside.	さそりが1ぴきはいってる。	examine	item	Scorpion cage
There are 2 scorpions inside.	さそりが2ひきはいってる。	examine	item	Scorpion cage
There are 3 scorpions inside.	さそりが3びきはいってる。	examine	item	Scorpion cage
I wonder what this tastes like?	これは どんな あじが するんだろう？	examine	item	Strange fruit
Useless without the head.	あたまなしではやくにたたない。	examine	item	Pickaxe handle
Nurmof can fix this for me.	ぬるもふはこれをなおしてくれる。	examine	item	Broken pickaxe
It's missing a handle.	てがきがたりない。	examine	item	Bronze pick head
Bob can fix this for me.	ぼぶはこれをなおしてくれる。	examine	item	Broken axe
I don't fancy eating this now.	いまは これを たべたくないな。	examine	item	Enchanted beef
Bones are for burying!	ほねはうめるためのもの！	examine	item	Bones
Ew it's a pile of bones.	えっ、ほねのやまだ。	examine	item	Bat bones
These would feed a dog for months!	このてんりゅうするいぬをかずヶつきたべさせられる！	examine	item	Dragon bones
Keeps a druid's knees nice and warm.	どぅるういどのひざをあたたかくたもつ。	examine	item	Druid's robe
I feel closer to the gods when I am wearing this.	これを きていると かみに ちかづいた きがする。	examine	item	Druid's robe top
Keeps a monk's knees nice and warm.	そうりょのひざをあたたかくたもつ。	examine	item	Monk's robe
If a shade had knees, this would keep them nice and warm.	かげがひざをもってたら、これはそのひざをあたたかくたもつだろう。	examine	item	Shade robe
Issued to all new citizens of Gielinor.	ぎえりのーるのすべてのあたらしいしみんにはっこうされた。	examine	item	Newcomer map
It lets me talk to ghosts.	ゆうれいとはなせる。	examine	item	Ghostspeak amulet
Ooooh spooky!	おおおおおおこわい！	examine	item	Ghost's skull
One of the 4 basic elemental Runes.	4つのきほんてきなげんそルーンのひとつ。	examine	item	Fire rune
Used for basic level missile spells.	きほんてきなみさいるまほうようにつかわれる。	examine	item	Mind rune
Used for curse spells.	つかうのろいしゃしん。	examine	item	Body rune
Used for medium level missile spells.	ちゅうていどのみさいるまほうようにつかわれる。	examine	item	Death rune
Used for alchemy spells.	つかうれんきんしゃしん。	examine	item	Nature rune
Used for low level missile spells.	ていていどのみさいるまほうようにつかわれる。	examine	item	Chaos rune
Used for teleport spells.	つかうテレポートしゃしん。	examine	item	Law rune
Used for enchant spells.	つかうほまじないしゃしん。	examine	item	Cosmic rune
Used for high level missile spells.	こうていどのみさいるまほうようにつかわれる。	examine	item	Blood rune
Used for high level curse spells.	こうていどののろいまほうようにつかわれる。	examine	item	Soul rune
I'd prefer it if it was powered.	きによってたらもっといいのに。	examine	item	Unpowered orb
A magic glowing orb.	magic glowing orbだ。	examine	item	Fire orb
I can do magic better in this.	これを きると まほうが うまく つかえる。	examine	item	Blue wizard robe
A silly pointed hat.	ばかげた hatだ。	examine	item	Blue wizard hat
It's a bailing bucket.	あけもどすバケツだ。	examine	item	Bailing bucket
It's a bailing bucket full of salty water.	しょっぱいみずでいっぱいのあけもどすバケツだ。	examine	item	Bailing bucket
A strange glowing green orb.	ふしぎな glowing green orbだ。	examine	item	Orb of protection
Two strange glowing green orbs.	ふたつのへんなひかるあおいきゅうたい。	examine	item	Orbs of protection
It's an amulet of protection given to me by the gnomes.	ノームにもらったまもりのおまもりだ。	examine	item	Gnome amulet
Useful for lighting a fire.	やくにたつ。	examine	item	Tinderbox
A heap of ashes.	ashesの やまだ。	examine	item	Ashes
A lit home-made torch.	lit home-made torchだ。	examine	item	Lit torch
An unlit home-made torch.	つかれていないてづくりたいまつ。	examine	item	Unlit torch
Arrows with bronze heads wrapped in oily cloth.	あぶらっこいふくにつつまれたブロンズあたまのや。	examine	item	Bronze fire arrow
A book on the history of astronomy.	the history of astronomyに ついての ほんだ。	examine	item	Astronomy book
A small key for a large door (Allows access to the goblin kitchen in the Observatory Dungeon).	ちいさな key for a large doorだ。	examine	item	Goblin kitchen key
An unusual mould in the shape of a disc.	ちょっときになるえんばんのかたちのかたがた。	examine	item	Lens mould
A perfectly circular disc of glass.	perfectly circular disc of glassだ。	examine	item	Observatory lens
A slender bone shard given to you by Zadimus.	Zadimusからの slender bone shardだ。	examine	item	Bone shard
A bone key fashioned from a shard of bone (Provides access to Rashiliyia's Tomb).	a shard of boneからの bone key fashionedだ。	examine	item	Bone key
A stone plaque with carved letters in it.	stone plaque with carved letters in itだ。	examine	item	Stone-plaque
An ancient tattered scroll.	こだいのぼろぼろまきもの。	examine	item	Tattered scroll
An ancient crumpled scroll.	こだいのくちゃくちゃまきもの。	examine	item	Crumpled scroll
The remains of the Zombie Queen.	ゾンビクイーンのざんい。	examine	item	Rashiliyia corpse
The remains of Zadimus.	ザディマスのざんい。	examine	item	Zadimus corpse
A magical crystal sphere.	まほうの crystal sphereだ。	examine	item	Locating crystal
A curious looking neck ornament.	きみょうな looking neck ornamentだ。	examine	item	Beads of the dead
Lovely money!	すばらしいかね！	examine	item	Coins
Beads carved out of a bone.	ほねからきざみだしたせんず。	examine	item	Bone beads
Allows you to rest in the luxurious Paramayer Inn.	ごうかなパラマヤーいんでやすめる。	examine	item	Paramaya ticket
Allows you passage on the 'Lady of the waves' ship.	「ナミノレディー」せんにじょうせんできる。	examine	item	Ship ticket
An ivory sword pommel.	ぞうげのつるぎのつかのかざり。	examine	item	Sword pommel
Notes taken from the tomb of Bervirius.	ベルウィリウスのぼのかべつこ。	examine	item	Bervirius notes
A decorated belt used to trade information between distant villages.	かざられた belt used to trade information between distant villagesだ。	examine	item	Wampum belt
They're soft, silky and pink.	やわらかくて、なめらかで、ピンクだ。	examine	item	Pink boots
They're soft, silky and green.	やわらかくて、なめらかで、みどりだ。	examine	item	Green boots
They're soft, silky and blue.	やわらかくて、なめらかで、あおいだ。	examine	item	Blue boots
They're soft, silky and cream.	やわらかくて、なめらかで、くりーむいろだ。	examine	item	Cream boots
They're soft, silky and turquoise.	やわらかくて、なめらかで、ふいろいろだ。	examine	item	Turquoise boots
The ultimate in gnome design, now in pink!	ノームえがおのさいこう、いまはピンク！	examine	item	Pink robe top
The ultimate in gnome design, now in green!	ノームえがおのさいこう、いまはみどり！	examine	item	Green robe top
The ultimate in gnome design, now in blue!	ノームえがおのさいこう、いまはあおい！	examine	item	Blue robe top
The ultimate in gnome design, now in cream!	ノームえがおのさいこう、いまはくりーむ！	examine	item	Cream robe top
The ultimate in gnome design, now in turquoise!	ノームえがおのさいこう、いまはふいろ！	examine	item	Turquoise robe top
Made by Tree Gnomes with a thing for pink.	ピンクがすきなツリーノームがつくった。	examine	item	Pink robe bottoms
Made by Tree Gnomes with a thing for green.	みどりがすきなツリーノームがつくった。	examine	item	Green robe bottoms
Made by Tree Gnomes with a thing for blue.	あおいがすきなツリーノームがつくった。	examine	item	Blue robe bottoms
Made by Tree Gnomes with a thing for cream.	くりーむがすきなツリーノームがつくった。	examine	item	Cream robe bottoms
Made by Tree Gnomes with a thing for turquoise.	ふいろがすきなツリーノームがつくった。	examine	item	Turquoise robe bottoms
A silly pink pointed hat.	ばかげた pink pointed hatだ。	examine	item	Pink hat
A silly green pointed hat.	ばかげた green pointed hatだ。	examine	item	Green hat
A silly blue pointed hat.	ばかげた blue pointed hatだ。	examine	item	Blue hat
A silly cream pointed hat.	ばかげた cream pointed hatだ。	examine	item	Cream hat
A silly turquoise pointed hat.	ばかげた turquoise pointed hatだ。	examine	item	Turquoise hat
Picture of a posing Paladin.	ぽーずをしているパラディンのしゃしん。	examine	item	Portrait
A Faladian Knight's sword.	Faladian Knight's swordだ。	examine	item	Blurite sword
Definitely blue.	かならずあおい。	examine	item	Blurite ore
A receptacle for specimens!	receptacle for specimens!だ。	examine	item	Specimen jar
A small brush used to clean rock samples.	ちいさな brush used to clean rock samplesだ。	examine	item	Specimen brush
A carefully-kept-safe skull sample.	carefully-kept-safe skull sampleだ。	examine	item	Animal skull
A special cup.	とくべつな cupだ。	examine	item	Special cup
A lucky mascot.	ラッキーな mascotだ。	examine	item	Teddy
A roughly shaped piece of rock.	roughly shaped piece of rockだ。	examine	item	Cracked sample
A small pick for digging.	ちいさな pick for diggingだ。	examine	item	Rock pick
Used for digging!	ほることようにつかう！	examine	item	Trowel
An empty tray for panning.	からのなべたなわ。	examine	item	Panning tray
This tray contains gold.	このたなきんがはいってる。	examine	item	Panning tray
This tray contains mud.	このたなどろがはいってる。	examine	item	Panning tray
Pure, lovely gold!	じゅんすいで、すばらしいきん！	examine	item	Nuggets
An unusual symbol as yet unidentified by the archaeological expert.	こうこがくしゃがまだみんていしていないへんなしんごう。	examine	item	Ancient talisman
A letter waiting to be stamped.	waiting to be stampedの てがみだ。	examine	item	Unstamped letter
A sealed letter of recommendation.	sealed letter of recommendationだ。	examine	item	Sealed letter
Used to hold up trousers!	ずぼんをささえるようにつかう！	examine	item	Belt buckle
Phew!	ふうー！	examine	item	Old boot
A decent-enough weapon gone rusty.	decent-enough weapon gone rustyだ。	examine	item	Rusty sword
