english	translation	category	sub_category	source
Don't you open that trapdoor!	あのおちとしを、あけるなよ！	examine	object	Trapdoor
I can climb this.	これを のぼれそうだ。	examine	object	Ladder
A sturdy door.	じょうぶなドアだ。	examine	object	Door
I wonder what's inside.	なかになにがあるのかな。	examine	object	Closed chest
Perhaps I should search it.	もしかして、さがすべきなのかな。	examine	object	Open chest
I wonder what that's there for...	あれが、なんのためにあるのかな。	examine	object	Trapdoor
An appliance for cooking with.	りょうりするこうぐだ。	examine	object	Cooking range
A party balloon.	パーティーのふうせんだ。	examine	object	Party Balloon
Aren't they pretty?	きれいでしょう？	examine	object	Party Balloon
Paaaarty!	パーティー！	examine	object	Party Balloon
An escape route.	にげるみちだ。	examine	object	Ladder
Looks spooky down there.	したは、こわくみえるなあ。	examine	object	Ladder
A large double door.	おおきなにじゅうのドアだ。	examine	object	Large door
Smelly.	くさい。	examine	object	Compost heap
An ornate fountain.	はでなふんすいだ。	examine	object	Fountain
It looks possible to scramble up the wall here, with skill.	ぎのうがあれば、ここのかべをよじのぼることができそうだ。	examine	object	Rocks
Lots of books.	たくさんのほんがある。	examine	object	Bookcase
This wall looks odd...	このかべは、おかしくみえる。	examine	object	Wall
I wonder what this does...	これが、なんをするのかな。	examine	object	Lever
I'm not touching that.	あれには、さわらないぞ。	examine	object	Strange machine
A special furnace for destroying contaminated items.	よごれたものを、こわすとくべつなろだ。	examine	object	Incinerator
Fly Gnome Air.	ノームエアーで、ひこう。	examine	object	Gnome glider
Probably pilot error.	たぶん、パイロットのあやまちだろう。	examine	object	Crashed glider
The Blurberry bar - cocktails extraordinaire!	ブラーベリーバー。すごいカクテル！	examine	object	Blurberry bar
A large gate in the gnome style.	ノームのようしきの、おおきなゲートだ。	examine	object	Gate
The entrance to the cave.	どうくつのいりぐちだ。	examine	object	Hollowed rock
A quirky gnome lamp.	きのこんなノームのランプだ。	examine	object	Lamp
These insects love this light.	このこんちゅうは、このひかりが、だいすきだ。	examine	object	Lamp
It's amazing what bees produce!	ハチがつくるものは、すごいなあ！	examine	object	Candles
Posh candlesticks.	ほしゃなロウソクたてだ。	examine	object	Candles
Scary lighting apparatus.	こわいひかりのそうちだ。	examine	object	Candles
An ornamental lighting fixture.	ようしょくのひかりのそうちだ。	examine	object	Chandelier
A mysterious glowing ice crystal.	なぞのひかるこおりのすいしょうだ。	examine	object	Ice Light
Useful for making ships move.	ふねをうごかすのに、やくにたつ。	examine	object	Sail
This figure brings luck to those who sail.	このずうは、ほのひとに、うんをもたらす。	examine	object	Figurehead
Barnacle infested rope.	ふなくいがついた、ロープだ。	examine	object	Pile of rope
Allows access to other parts of the ship.	ふねのほかのぶぶんに、いくことができる。	examine	object	Ship's ladder
Without this I'm going around in circles.	これがないと、ぐるぐるまわっている。	examine	object	Ship's wheel
Used for pulling things up.	ものをひっぱりあげるのに、つかう。	examine	object	Winch
Useful if there is any wind.	かぜがあればやくにたつ。	examine	object	Sail
How much does this weigh?	これは、どのくらいおもいのか。	examine	object	Anchor
I can climb up here.	ここへ、のぼることができる。	examine	object	Ship's ladder
I can go below decks with this ladder.	このハシゴで、デッキのした、いくことができる。	examine	object	Ship's ladder
A conveniently rolled sail.	べんりなまるいほだ。	examine	object	Hoisted sail
I'm not allowed to climb this ladder.	このハシゴを、のぼってはいけない。	examine	object	Ladder
It's like a land rudder.	ちのかじのようだ。	examine	object	Plough
Disturbingly man-like.	きもくて、ひとみたいだ。	examine	object	Scarecrow
I bet there's a needle in it somewhere.	どこかに、はりがあるだろう。	examine	object	Hay bales
A home for baby creatures.	あかちゃんのどうぶつのいえだ。	examine	object	Eggs
In the city we would call this mouldy rubbish.	ぐしゃぶたいては、これをかびのゴミと、いうだろう。	examine	object	Compost
A used cart seller will probably try and sell it later.	つかったカートのうりてが、のちにこれをうろうとするだろう。	examine	object	Broken cart
One horsepower; wooden suspension: a beauty.	いっぴき。もくせいのさげ。びようだ。	examine	object	Cart
Dead tree parts piled neatly together.	しんだきの、ぶぶんが、きれいにつみあげてある。	examine	object	Log pile
A patch of soft, dark brown matter. Probably mud.	やらかい、くらいちゃいろのぶっしつ。たぶん、どろだ。	examine	object	Mud patch
A pile of something that I hope is mud.	なにかのやまだ。どろだと、いいなあ。	examine	object	Mudpile
Potato-licious!	ジャガイモ、おいしそう！	examine	object	Potato
Baby bread.	あかちゃんのパンだ。	examine	object	Wheat
The remains of a bad driver.	へたなうんてんしゅのなごりだ。	examine	object	Broken cart wheel
The perfect place to store things.	ものを、しまうのに、ぴったりなばしょだ。	examine	object	Cabinet
These open and close!	これら、あいたり、しまったり、する！	examine	object	Drawers
This may be worth searching.	これは、さがしてもいいかもしれない。	examine	object	Drawers
A wooden crate for storage.	しまうための、もくせいのはこだ。	examine	object	Crate
An old crate for storage.	しまうための、ふるいはこだ。	examine	object	Crate
A pile of boxes for storage.	しまうための、はこのやまだ。	examine	object	Boxes
A wooden barrel for storage.	しまうための、もくせいのたるだ。	examine	object	Barrel
A wooden barrel containing lots of fish.	さかながたくさん、はいっているもくせいのたるだ。	examine	object	Barrel
It's got ale in it.	ビールが、ははいっている。	examine	object	Barrel
These may have something in them.	これのなかに、なにかあるかもしれない。	examine	object	Sacks
Useful for transportation of delicate items.	きゃしゃなものを、はこぶのに、やくにたつ。	examine	object	Crate
This may be worth opening.	これは、あけてもいいかもしれない。	examine	object	Cupboard
The perfect accompaniment to a bedroom.	しんしつへの、ぴったりなともだちだ。	examine	object	Dresser
A stand for hats!	ぼうしをかける、スタンドだ！	examine	object	Hat stand
A good source of books!	ほんの、いいみなもとだ！	examine	object	Bookcase
A woven storage basket.	おられた、しまうのバスケットだ。	examine	object	Basket
A gigantic pottery urn.	きょだいな、とうげいのつぼだ。	examine	object	Large urn
This no doubt contains arcane knowledge.	これには、たしかに、ひみつのちしきが、はいっているだ。	examine	object	Bookshelves
I wonder what this spooky item contains.	このこわいものが、なにをふくんでいるのか、わからないなあ。	examine	object	Wardrobe
It smells funny in there.	あなかの、においが、へんだ。	examine	object	Wardrobe
A fishing net full of fish.	さかなでいっぱいの、ぎょもうだ。	examine	object	Full fishing net
Bamboo storage!	たけのしまいだ！	examine	object	Bookcase
I hope no-one's home...	だれもいないといいなあ。	examine	object	Coffin
A small simple gravestone.	ちいさくて、しんぷルなぼせきだ。	examine	object	Small gravestone
A simple marker for a forgotten person.	わすれられたひとのための、しんぷルなマーカーだ。	examine	object	Grave marker
The remains of someone lie inside.	だれかのなごりが、なかにある。	examine	object	Tombstone
A monument to a special person.	とくべつなひとへの、きねんひだ。	examine	object	Large grave stone
The inscription is worn away and unreadable.	きさくが、すりへって、よめない。	examine	object	Gravestone
'Here lies...' is all I can read.	『ここに...がある』しか、よめない。	examine	object	Gravestone
Whoever bought this must have really cared for the inhabitant.	これをかった、だれが、きっと、なかのひとのことを、すごくおもっていたよ。	examine	object	Large grave
Looks like a stone doorway to me.	ぼくには、いしのもんのようだ。	examine	object	Henge
Looks like a stone doorway to my untrained eye.	れんしゅうしていないぼくのめには、いしのもんのようだ。	examine	object	Henge
Shrine to the glory of Saradomin.	サラドミンの、こうえいへの、しゃしんだ。	examine	object	Altar
An ancient altar to the glory of Guthix.	ガシックスの、こうえいへの、こだいなさいだんだ。	examine	object	Altar of Guthix
Shrine to the glory of Zamorak.	ザモラックの、こうえいへの、しゃしんだ。	examine	object	Chaos altar
Looks suspiciously like a big stone table.	うたがわしく、おおきないしのテーブルのようだ。	examine	object	Dolmen
A really posh upright coffin.	ほんとうに、ほしゃな、たてのひつぎだ。	examine	object	Coffin
Whoever's inside must have been rich.	なかのひとは、きっと、おかねもちだったよ。	examine	object	Coffin
With skill I can play this.	ぎのうがあれば、ぼくは、これをひくことができる。	examine	object	Church organ
Great for sleeping in.	ねるのに、いいなあ。	examine	object	Bed
A stylish-looking bed.	しゃれたみたいなベッドだ。	examine	object	Bed
A drab-looking bed.	さびしいみたいなベッドだ。	examine	object	Bed
Technically a bed.	ぎじゅつてきに、ベッドだ。	examine	object	Bed
I guess I could sleep in it if I were really tired.	ほんとうに、つかれていたら、ここでねることができるだろう。	examine	object	Bed
Lovely comfy-looking big bed.	すてきできもちよさそうなおおきなベッドだ。	examine	object	Bed
Posh-looking bed.	ほしゃなみたいなベッドだ。	examine	object	Bed
A bed fit for a king.	おうのためのベッドだ。	examine	object	Bed
One of the nicest beds I have ever seen.	ぼくが、みたことのある、もっともいいベッドの、ひとつだ。	examine	object	Bed
Perfect for snoozing in the sun.	おひさまのなかで、ねむるのに、ぴったりだ。	examine	object	Hammock
A comfortable seat to recline and recuperate.	こしかけて、やすむのに、きもちいいいすだ。	examine	object	Chaise lounge
I don't think anyone's slept here for a long time.	だれも、ここで、ずっとねていないと、おもう。	examine	object	Bed
Bamboo's a versatile material.	たけは、おおくのもじに、つかえるざいりょうだ。	examine	object	Bed
A door.	ドアだ。	examine	object	Door
Bashed, broken and dumped.	ぶたれて、こわされて、ほうりだされた。	examine	object	Door
A way out!	でぐちだ！	examine	object	Crevice
It's even smokier in there...	あなかは、もっと、けむいなあ。	examine	object	Crevice
What could possibly fit through that?	あれを、とおることができる、なんて、あるのかな。	examine	object	Crevice
It's covering a little alcove.	ちいさい、あるこぶを、おおっている。	examine	object	Curtain
Allows for equal distribution of spice.	こうしんを、ひとしく、さばくことができる。	examine	object	Red spice (4)
Someone bent defence.	だれかが、ぼうえいを、まげた。	examine	object	Broken Fence
A large door.	おおきいドア。	examine	object	Door
Frozen water has formed an icicle here.	こおったみずが、ここに、つらら、ができた。	examine	object	Icicle
It looks cold in there.	あなかは、さむそうだ。	examine	object	Cave entrance
This person was of great importance.	このひとは、とてもだいじだった。	examine	object	Statue of a warrior
A monarch chiselled in stone.	いしで、きざんだおうだ。	examine	object	Statue of a king
A sculpture of a monarch.	おうの、ちょうこくだ。	examine	object	Statue of a king
A huge carving of an ancient race.	こだいなじんぶつの、おおきなきざみだ。	examine	object	Tribal statue
A depiction of a great dwarven miner.	すぐれた、ドワーフのこうふのえがきだ。	examine	object	Dwarf statue
A depiction of a famous gnome warrior.	ゆうめいな、ノームのせんしのえがきだ。	examine	object	Gnome statue
The head and shoulders of a famous gnome.	ゆうめいな、ノームの、あたまと、かただ。	examine	object	Gnome statue
A depiction of a famous gnomeballer.	ゆうめいな、ノームボーラーのえがきだ。	examine	object	Gnome statue
A carving of a figure from the history of Gielinor.	ギエリノールの、れきしからの、ずう、のきざみだ。	examine	object	Statue
An expertly chiselled statue.	じゅくれんして、きざんだぞうだ。	examine	object	Statue
An unusual symbol of ancient times.	こだいなじだいの、ふつうではない、きごうだ。	examine	object	Statue
An expertly crafted vase.	じゅくれんして、つくった、かびんだ。	examine	object	Vase
An expertly chiselled statue of a bird.	じゅくれんして、きざんだ、とりのぞうだ。	examine	object	Statue
What a good likeness!	いい、にてるなあ！	examine	object	Statue of Saradomin
A depiction of the evil god Zamorak.	あくのかみ、ザモラックのえがきだ。	examine	object	Statue of Zamorak
A base for the statue to sit on.	ぞうが、すわるための、だいだ。	examine	object	Statue steps
The scrying glass of a seer.	みらいみのひとの、せんすいのガラスだ。	examine	object	Crystal ball
Banking transactions are processed here.	ぎんこうのしょとりが、ここで、されている。	examine	object	Bank table
Banking transactions are recorded here.	ぎんこうのしょとりが、ここで、きろくされている。	examine	object	Bank table
Contains washing items.	あらうもの、ふくまれている。	examine	object	Bathroom table
A nice sturdy looking table.	いい、じょうぶなみたいなテーブルだ。	examine	object	Table
A banquet could be eaten from this.	これから、おもてなしを、たべることができる。	examine	object	Table
Useful for putting things on.	ものを、おくのに、やくにたつ。	examine	object	Table
At one time it was for putting things on.	あるじぶん、ものを、おくためだった。	examine	object	Table
The napkins are made from real silk.	ナプキンは、ほんもののきぬで、つくられている。	examine	object	Table
Items for making clothes are kept on here.	ようふくを、つくるための、もじが、ここに、おいてある。	examine	object	Table
The ideal place to study.	べんきょうするのに、りそうなばしょだ。	examine	object	Study desk
A handy workbench for a handy person.	いじょうずなひとのための、べんりなさぎょうだいだ。	examine	object	Workbench
Sit back and enjoy the view.	もたれて、けしきを、たのしむ。	examine	object	Picnic bench
Items are for sale here.	ものが、ここで、うられている。	examine	object	Counter
A creepy looking table.	きもいみたいなテーブルだ。	examine	object	Table
There are some strange chemicals here.	へんなかがくやくひんがある。	examine	object	Chemistry Table
It's a banquet table.	えんかいのテーブルだ。	examine	object	Table
Finely wrought wares of silver.	みごとなぎんのしなもの。	examine	object	Silver stall
Garments for the discerning.	めききのいいひとむけのふくだ。	examine	object	Silk stall
Bread cakes and pastries.	パンとケーキとペストリー。	examine	object	Bakery stall
Finest precious stones.	さいこうのほうせきだ。	examine	object	Gem stall
These will keep you warm.	これであたたかいままだ。	examine	object	Fur stall
The spice is right.	こうしんみぎ。	examine	object	Spice stall
Always a source of good bargains.	いつもいいねだんのものがある。	examine	object	Market stall
Fine brews from exotic regions.	へんなちいきからきたおいしいのみもの。	examine	object	Tea stall
Keeps mine carts from rolling away.	さっこうをころがらないようにする。	examine	object	Buffers
You can 'cart' things around in this.	これでものをはこぶことができる。	examine	object	Mine cart
Makes you taller.	たかくなる。	examine	object	Rack
A bit large for a bracelet!	ブレスレットにしてはちょっときいすぎる。	examine	object	Stocks
A macabre variation on the neck tie.	きもちわるいへんかのじょうにくびむすび。	examine	object	Gallows
Dead and half buried.	しんでいて、はんぶんうまっている。	examine	object	Buried skeleton
Disturbing but tidy.	しんかんだけどきれい。	examine	object	Pile of skulls
I don't even want to think about what did that...	これをしたのがなんなのか、かんがえたくない。	examine	object	Charred bones
Now that's what I call slimline!	そうだな、ほっそりといおう。	examine	object	Corpse
He looks very relaxed.	あいつはぐったりしてるな。	examine	object	Corpse
Now he's just too thin.	いまあいつはせますぎる。	examine	object	Corpse
He hasn't eaten in a long time.	あいつはながいあいだたべていない。	examine	object	Corpse
No cats were harmed in the making of this device.	このききのせいさくではねこはきずつけられませんでした。	examine	object	Catapult
Shattered.	こわれた。	examine	object	Broken barrel
Useful for catching small fish.	ちいさいさかなをつかまえるのにやくにたつ。	examine	object	Small fishing net
A passage leading into the next chamber of the cave.	つうろつぎのへやのあな。	examine	object	Passage
Screams can be heard within.	なかからさけびがきこえる。	examine	object	Cave
Careful out there!	きをつけてな。	examine	object	Cave exit
I was always forced to play this as a child.	こどものときはいつもこれをひかされていた。	examine	object	Piano
I never learnt to play.	ひくことをおぼえたことがない。	examine	object	Piano
Time for a recital?	はっぴょうかいのじかんかな。	examine	object	Piano stool
Tick-tock, it's a clock.	ちんちん、とけいだ。	examine	object	Grandfather Clock
The noxious liquid bubbles horribly.	どくどくえきがおそろしくあぶくあぶくしている。	examine	object	Swamp bubbles
Shows which way the wind blows.	かぜがどのほうこうにふくかをしめす。	examine	object	Weather vane
Looking good!	よくみえる。	examine	object	Mirror
A privacy aid!	プライバシーのたすけだ。	examine	object	Bath screen
Use this to get changed behind and retain modesty.	うしろでかわって、おじゃまをしないためにこれをつかえ。	examine	object	Screen
I don't even want to think about what's cooking in that.	あれのなかでなにがりょうりされているのかかんがえたくない。	examine	object	Cauldron
Good for sweeping.	そうじにいい。	examine	object	Broom
I'm guessing it's for making women's clothes.	おんなものふくをつくるためのもんだろうな。	examine	object	Clothes model
Helps make human clothing.	にんげんのふくをつくるのをてつだう。	examine	object	Clothes model
A hole.	あな。	examine	object	Hole
Dead animal head. Lovely.	しんだどうぶつのあたま。すてき。	examine	object	Animal skull
Must have been laid by a huge bird.	おおきなとりがうんだにちがいない。	examine	object	Big egg
Whatever it was I'm glad it's not alive.	なんであれ、いきていないのはよかった。	examine	object	Carcass
Spooky!	ぶきみだ。	examine	object	Curved bone
A dog's idea of heaven.	かんがえのてんごく。	examine	object	Large bone
Ding-Dong!	ちんちん。	examine	object	Bell
Some kind of pulley system.	なんかのわるうすシステムだ。	examine	object	Bell mechanism
Surprisingly rope-shaped.	おどろくほどなわのかたちだ。	examine	object	Bell rope
Suspiciously hole-shaped.	あやしいあなのかたち。	examine	object	Hole in wall
A huge chunk of shining natural crystal.	ぶちのひかっているしぜんのすいしょうの。	examine	object	Crystal cluster
A recently extinguished fire.	けしたひ。	examine	object	Fire remains
A barrel full of swords...	たるいっぱいののけん...	examine	object	Barrel
It looks like there is something caught inside this trap.	there is something caught inside this trapのようだ。	examine	object	Shaking box
I'm glad this isn't around anymore!	これではないのまわり!	examine	object	Buried skeleton
A crude torch stuck in the ground.	あらいたいまつさされたにじめん。	examine	object	Standing torch
A fissure in the cave wall.	われめにあなかべ。	examine	object	Cave web
This huge web blocks your path.	おおきな クモのすが みちを ふさいでいる。	examine	object	Web
A huge web, cruelly slashed in half.	おおきな クモのすが はんぶんに きられている。	examine	object	Slashed web
Looks a little too broken to climb.	こわれすぎていて のぼれなさそうだ。	examine	object	Broken ladder
An old-looking ladder.	ふるそうな はしごだ。	examine	object	Ladder
An old-looking bit of scaffolding.	ふるそうな あしばだ。	examine	object	Scaffold
It's a door made from bamboo.	たけで できた ドアだ。	examine	object	Bamboo Door
A loom.	おりきだ。	examine	object	Loom
You'd need a big siege engine to force that.	あれを こじあけるには おおきな こうじょうへいきが ひつようだ。	examine	object	City Gate
I always wonder if someone's hiding inside when I see these.	これを みると いつも なかに だれか かくれてるのかなって おもう。	examine	object	Suit of armour
Looks kind of like a man made of metal.	きんぞくで できた にんげんの ようにみえる。	examine	object	Suit of armour
Not suitable for children. Aim away from face.	ない。さってからかお。	examine	object	Cannon
Big heavy metal balls.	おおきいおもいきんぞくの。	examine	object	Cannonballs
The easiest opponent I'll ever fight.	いままで。	examine	object	Dummy
A wooden defensive structure.	もくせいのこうぞう。	examine	object	Wooden defence
For private use only!	つかうだけ!!	examine	object	Target
Break glass in case of emergency.	こわすガラスこっぷにの。	examine	object	Sword cabinet
An attractively laid out collection of ranging weapons.	そとの。	examine	object	Bow cabinet
A row of sharp pointy spears.	のするどい。	examine	object	Spear wall
Rows of sharp pointy spears.	のするどい。	examine	object	Spear wall
A tatty old standard.	ふるい。	examine	object	Standard
A standard.	のぼりだ。	examine	object	Standard
A blue standard.	あおい。	examine	object	Standard
A standard of the gnome race.	the gnome raceの はただ。	examine	object	Standard
The standard of the ogre race.	the ogre raceの はただ。	examine	object	Standard
The flag of Asgarnia.	Asgarniaの はただ。	examine	object	Flagpole
The flag of Kandarin.	Kandarinの はただ。	examine	object	Flagpole
The flag of Ardougne.	Ardougneの はただ。	examine	object	Flagpole
A standard of Asgarnia.	Asgarniaの はただ。	examine	object	Standard
A standard of Kandarin.	Kandarinの はただ。	examine	object	Standard
A standard of Misthalin.	Misthalinの はただ。	examine	object	Standard
A standard of Varrock.	Varrockの はただ。	examine	object	Standard
A flag flies here.	ここ。	examine	object	Flagpole
A sculpted trunk of wood.	woodの ちょうこくされた みきだ。	examine	object	Totem Pole
Takes my dirty bath water away.	とるわたしのきたないみずさって。	examine	object	Bath pipes
It smells horrible in there.	これにそこ。	examine	object	Large sewer pipe
Ideal for washing things in.	washing things inに ぴったりだ。	examine	object	Sink
Wash here.	ここ。	examine	object	Bath
No this is not a mirage!	いいえこれない!	examine	object	Well
Everyone needs a water feature.	ひつようみず。	examine	object	Fountain
A beautiful water feature.	うつくしいみず。	examine	object	Fountain
There's a cover over this manhole.	おおううえのこれ。	examine	object	Manhole
How dangerous, someone has left this manhole open.	どうあぶない,だれかあるひだりこれあいている。	examine	object	Manhole
Best used with a bucket.	もっともいいつかったとバケツ。	examine	object	Well
If only I had one of those at home...	もしだけわたしあったので...	examine	object	Bar pumps
A painting of the King looking royal.	のおうみえている。	examine	object	Portrait
A beautiful landscape.	うつくしい。	examine	object	Painting
A mysterious figure stands alone in this haunting image.	なぞめいたにこれ。	examine	object	Painting
Hail to the King!	へおう!!	examine	object	Portrait
I don't know much about art, but I like this.	わたしないしるたくさんについてしかしわたしのようなこれ。	examine	object	Landscape
A painting of some guy standing around somewhere.	のいくつかのまわり。	examine	object	Painting
A really bad portrait of the King.	ほんとうにわるいのおう。	examine	object	Painting
Fine brushwork adds to the realism of this serene landscape.	たすへのこれ。	examine	object	Landscape
Pretty good painting.	きれいないい。	examine	object	Painting
I can see the stars on this.	the stars が みえる。	examine	object	Star chart
A picture of the stars with funny diagrams and things on.	のととのじょうに。	examine	object	Star chart
Cross shaped.	じゅうじかたちだ。	examine	object	Cross
Mmmm decorative!	!	examine	object	Hanging banner
Brightens up the room a bit.	うえへや。	examine	object	Hanging banner
Not bad at all.	ないわるいですべて。	examine	object	Hanging banner
Alas poor unicorn, I knew him.	まずしいわたししったかれ。	examine	object	Unicorn's head
Probably looked better mounted on the dragon's neck.	たぶんみえたもっといいのじょうにくび。	examine	object	Dragon's head
Not what I would pick as wall decoration.	ないわたしえらぶとしてかべ。	examine	object	Dragon's head
Looks like the bull lost.	うしが まけたようだ。	examine	object	Bull's head
Trinkets and stuff.	ともの。	examine	object	Charms
A magical wall decoration.	まほうの かべかざりだ。	examine	object	Magical symbol
Something is written on it. I can't read what.	のじょうにこれ。わたしことができないよんだ。	examine	object	Plaque
Looks like an eye with huge lashes.	おおきな まつげの めの ようだ。	examine	object	Eye decoration
A tablet covered in weird looking little squiggles and pictures.	おおわれたにへんなみえているちいさいと。	examine	object	Glyphs
A posh water bowl.	みずわん。	examine	object	Font
Disturbingly its eyes look everywhere in the room except at you.	それのみえるにへやをのぞきいてであなた。	examine	object	Spooky picture
What has a face and hands but is not a man?	あるかおとしかしないおとこ??	examine	object	Clock face
It's a time machine....sort of!	じかん。の!!	examine	object	Clock face
'Ask about our low, low interest rates!'	についてわたしたちのひくい,ひくい	examine	object	Bank notice board
Some helpful people have placed notes on here, how nice.	いくつかひとびとあるのじょうにここ,どう。	examine	object	Noticeboard
Essentials for a seamstress.	さいほうしのひっすだ。	examine	object	Clothes equipment
It really was this big!	これほんとうにだったこれおおきい!!	examine	object	Stuffed swordfish
He doesn't look too jolly to me!	かれないみえるあまりにへわたし!!	examine	object	Jolly Roger
Looks like this ship was way off course!	このふねは コースから はずれたようだ！	examine	object	Hanging wheel
X marks the spot.	ばしょ。	examine	object	Pirate map
Complete with authentic seaweed!	かんりょうしたと!	examine	object	Fishing net
This mentions the monk trapped here...	これここ...	examine	object	Plaque
A useful ranging device.	つかえるえんしゃぶきだ。	examine	object	Bow and Arrow
Use these with bows.	つかうと。	examine	object	Arrows
A powerful throwing weapon.	powerful throwingの ぶきだ。	examine	object	Javelin
Improved Leather armour for archers.	かわの。	examine	object	Studded Leather
Leather made from the skin of a Dragon.	かわのからのりゅう。	examine	object	Dragonhide Leather
I can climb over the fence with this.	over the fence with thisを のぼれそうだ。	examine	object	Stile
This section of railing has been broken	これぶぶんのあるいた	examine	object	Broken Railing
There is a hole in this section of the railing.	そこあなにこれぶぶんの。	examine	object	Broken Railing
Someone was thirsty...	だれかだった...	examine	object	Shelves
Full of lovely drinks!	いっぱいのののむ!!	examine	object	Shelves
Storage for cookery items.	りょうりどうぐのちゅうぞこだ。	examine	object	Cooking shelves
Storage for all needs.	すべてひつよう。	examine	object	Shelves
What kind of sick person keeps a skull on their wall?	しんせつなのびょうきのひとたもつしゃれこうべのじょうにかれらのかべ??	examine	object	Shelf
Esoteric artefacts.	ひっきなるたからだ。	examine	object	Shelf
I don't want to know what's in those little urns.	わたしないへしるにちいさい。	examine	object	Shelf
Used for storing things on.	つかったのじょうに。	examine	object	Shelves
Tailor made for needlework supplies	さいほうしよういとのためだ。	examine	object	Clothing shelves
Prepared hides hang here drying.	かくすここ。	examine	object	Tanning line
This contains dye for leather.	これかわの。	examine	object	Vat
Used to squeeze moisture from the hide.	つかったへからかくす。	examine	object	Mangle
Danger!	!	examine	object	Danger sign
This tells you which way is which.	これいうあなた。	examine	object	Signpost
Ye olde Shrimp and Parrot.	むかしの シュリンプ アンド パロット。	examine	object	Sign
The Blue Moon Inn - Licensed to sell intoxicating liquor.	ブルームーン・イン - おさけの はんばい きょか あり。	examine	object	Sign
The Jolly Boar - Purveyors of fine brews.	ジョリー・ボア - じょうしつな おさけ あります。	examine	object	Sign
